,ECO,OIL,SP500,PSE,RATE
2007-08-01,225.94,76.52999877929688,1465.81005859375,943.75,4.75
2007-08-08,245.75,72.1500015258789,1497.489990234375,941.6599731445312,4.81
2007-08-15,215.97,73.33000183105469,1406.699951171875,900.0900268554688,4.1
2007-08-22,221.32,69.26000213623047,1464.0699462890625,928.5399780273438,3.58
2007-08-29,217.07,73.51000213623047,1463.760009765625,935.2899780273438,3.88
2007-09-05,225.47,75.7300033569336,1472.2900390625,952.3900146484375,4.24
2007-09-12,221.89,79.91000366210938,1471.56005859375,952.9500122070312,3.93
2007-09-19,230.27,81.93000030517578,1529.030029296875,972.6599731445312,3.83
2007-09-26,242.86,80.30000305175781,1525.4200439453125,978.010009765625,3.64
2007-10-03,245.13,79.94000244140625,1539.5899658203125,988.3099975585938,3.86
2007-10-10,253.54,81.30000305175781,1562.469970703125,1009.3400268554688,3.95
2007-10-17,251.82,87.4000015258789,1541.239990234375,1012.4500122070312,3.91
2007-10-24,251.43,87.0999984741211,1515.8800048828125,999.3699951171875,3.75
2007-10-31,265.17,94.52999877929688,1549.3800048828125,1016.1900024414062,3.84
2007-11-07,259.39,96.37000274658203,1475.6199951171875,983.9600219726562,3.4
2007-11-14,244.77,94.08999633789062,1470.5799560546875,951.5,3.33
2007-11-21,227.41,97.29000091552734,1416.77001953125,924.3800048828125,3.02
2007-11-28,240.99,90.62000274658203,1469.02001953125,959.1500244140625,2.98
2007-12-05,251.39,87.48999786376953,1485.010009765625,958.5599975585938,3.0
2007-12-12,265.27,94.38999938964844,1486.5899658203125,961.0399780273438,2.81
2007-12-19,272.28,91.23999786376953,1453.0,927.1599731445312,2.85
2007-12-26,297.05,95.97000122070312,1497.6600341796875,959.530029296875,3.24
2008-01-02,286.03,99.62000274658203,1447.1600341796875,922.4500122070312,3.18
2008-01-09,260.23,95.66999816894531,1409.1300048828125,880.0599975585938,3.14
2008-01-16,233.92,90.83999633789062,1373.199951171875,864.22998046875,3.06
2008-01-23,219.07,86.98999786376953,1338.5999755859375,825.3300170898438,2.16
2008-01-30,224.72,92.33000183105469,1355.81005859375,847.2899780273438,2.16
2008-02-06,214.24,87.13999938964844,1326.449951171875,832.77001953125,2.05
2008-02-13,235.71,93.2699966430664,1367.2099609375,867.9000244140625,2.22
2008-02-20,223.87,100.73999786376953,1360.030029296875,854.25,2.2
2008-02-27,221.13,99.63999938964844,1380.02001953125,871.2000122070312,1.94
2008-03-05,214.27,104.5199966430664,1333.699951171875,846.010009765625,1.5
2008-03-12,203.73,109.91999816894531,1308.77001953125,834.4600219726562,1.45
2008-03-19,192.53,104.4800033569336,1298.4200439453125,818.75,0.6
2008-03-26,207.12,105.9000015258789,1341.1300048828125,851.6099853515625,1.27
2008-04-02,216.6,104.83000183105469,1367.530029296875,863.8099975585938,1.39
2008-04-09,216.0,110.87000274658203,1354.489990234375,858.510009765625,1.29
2008-04-16,226.51,114.93000030517578,1364.7099609375,861.989990234375,1.11
2008-04-23,222.79,118.30000305175781,1379.9300537109375,874.5999755859375,1.24
2008-04-30,216.93,113.45999908447266,1385.5899658203125,881.0599975585938,1.41
2008-05-07,216.33,123.52999877929688,1392.5699462890625,889.7100219726562,1.64
2008-05-14,232.0,124.22000122070312,1408.6600341796875,915.75,1.79
2008-05-21,232.19,133.1699981689453,1390.7099609375,908.4000244140625,1.83
2008-05-28,233.78,131.02999877929688,1390.8399658203125,925.219970703125,1.86
2008-06-04,226.31,122.30000305175781,1377.199951171875,930.4099731445312,1.81
2008-06-11,217.2,136.3800048828125,1335.489990234375,888.760009765625,1.92
2008-06-18,227.32,136.67999267578125,1337.81005859375,896.4099731445312,1.89
2008-06-25,220.01,134.5500030517578,1321.969970703125,893.5,1.78
2008-07-02,189.15,143.57000732421875,1261.52001953125,853.3699951171875,1.79
2008-07-09,182.94,136.0500030517578,1244.68994140625,851.1199951171875,1.79
2008-07-16,197.26,134.60000610351562,1245.3599853515625,864.1599731445312,1.35
2008-07-23,200.34,124.44000244140625,1282.18994140625,884.5700073242188,1.56
2008-07-30,199.99,126.7699966430664,1284.260009765625,885.1099853515625,1.67
2008-08-06,191.22,118.58000183105469,1289.18994140625,898.1599731445312,1.61
2008-08-13,199.31,116.0,1285.8299560546875,920.4299926757812,1.82
2008-08-20,199.28,114.9800033569336,1274.5400390625,909.6799926757812,1.68
2008-08-27,200.08,118.1500015258789,1281.6600341796875,905.989990234375,1.64
2008-09-03,189.53,109.3499984741211,1274.97998046875,884.3499755859375,1.67
2008-09-10,167.1,102.58000183105469,1232.0400390625,847.02001953125,1.62
2008-09-17,155.27,97.16000366210938,1156.3900146484375,790.3499755859375,0.03
2008-09-24,166.44,105.7300033569336,1185.8699951171875,804.260009765625,0.5
2008-10-01,151.89,98.52999877929688,1161.06005859375,772.0,0.84
2008-10-08,107.76,88.94999694824219,984.9400024414062,656.3800048828125,0.67
2008-10-15,101.0,74.54000091552734,907.8400268554688,612.25,0.22
2008-10-22,100.08,66.75,896.780029296875,603.9299926757812,1.03
2008-10-29,92.21,67.5,930.0900268554688,621.02001953125,0.61
2008-11-05,102.97,65.30000305175781,952.77001953125,640.4199829101562,0.39
2008-11-12,81.36,56.15999984741211,852.2999877929688,575.3800048828125,0.18
2008-11-19,72.3,53.619998931884766,806.5800170898438,541.2000122070312,0.07
2008-11-26,86.47,54.439998626708984,887.6799926757812,586.969970703125,0.05
2008-12-03,82.86,46.790000915527344,870.739990234375,581.27001953125,0.02
2008-12-10,86.6,43.52000045776367,899.239990234375,603.3099975585938,0.0
2008-12-17,89.63,40.060001373291016,904.4199829101562,609.27001953125,0.05
2008-12-24,86.42,35.349998474121094,868.1500244140625,589.5,0.0
2008-12-31,86.36,44.599998474121094,903.25,610.4600219726562,0.11
2009-01-07,89.38,42.630001068115234,906.6500244140625,625.6799926757812,0.11
2009-01-14,79.47,37.279998779296875,842.6199951171875,593.8499755859375,0.12
2009-01-21,79.59,43.54999923706055,840.239990234375,604.9500122070312,0.11
2009-01-28,82.75,42.15999984741211,874.0900268554688,626.9099731445312,0.19
2009-02-04,80.78,40.31999969482422,832.22998046875,616.219970703125,0.3
2009-02-11,80.22,35.939998626708984,833.739990234375,620.3599853515625,0.3
2009-02-18,74.71,34.619998931884766,788.4199829101562,603.6699829101562,0.31
2009-02-25,69.0,42.5,764.9000244140625,581.4299926757812,0.3
2009-03-04,63.73,45.380001068115234,712.8699951171875,551.6599731445312,0.26
2009-03-11,65.02,42.33000183105469,721.3599853515625,555.3800048828125,0.23
2009-03-18,70.34,48.13999938964844,794.3499755859375,598.7899780273438,0.21
2009-03-25,74.26,52.77000045776367,813.8800048828125,609.030029296875,0.19
2009-04-01,79.88,48.38999938964844,811.0800170898438,618.6099853515625,0.22
2009-04-08,81.47,49.380001068115234,825.1599731445312,638.5999755859375,0.18
2009-04-15,85.9,49.25,852.0599975585938,645.25,0.15
2009-04-22,85.77,48.849998474121094,843.5499877929688,652.1900024414062,0.14
2009-04-29,88.45,50.970001220703125,873.6400146484375,673.9500122070312,0.11
2009-05-06,99.49,56.34000015258789,919.530029296875,690.25,0.19
2009-05-13,87.55,58.02000045776367,883.9199829101562,661.9099731445312,0.17
2009-05-20,96.17,62.040000915527344,903.469970703125,691.3699951171875,0.18
2009-05-27,97.46,63.45000076293945,893.0599975585938,696.72998046875,0.17
2009-06-03,103.33,66.12000274658203,931.760009765625,724.1199951171875,0.14
2009-06-10,112.53,71.33000183105469,939.1500244140625,729.1099853515625,0.18
2009-06-17,102.53,71.02999877929688,910.7100219726562,715.5900268554688,0.17
2009-06-24,100.75,68.66999816894531,900.9400024414062,704.0999755859375,0.19
2009-07-01,101.84,69.30999755859375,923.3300170898438,722.0999755859375,0.17
2009-07-08,90.65,60.13999938964844,879.5599975585938,688.5,0.18
2009-07-15,97.21,61.540000915527344,932.6799926757812,733.8800048828125,0.18
2009-07-22,100.32,65.4000015258789,954.0700073242188,761.1799926757812,0.19
2009-07-29,105.0,63.349998474121094,975.1500244140625,776.1300048828125,0.19
2009-08-05,107.99,71.97000122070312,1002.719970703125,777.8900146484375,0.18
2009-08-12,104.87,70.16000366210938,1005.8099975585938,783.9199829101562,0.17
2009-08-19,100.68,72.41999816894531,996.4600219726562,774.219970703125,0.17
2009-08-26,100.95,71.43000030517578,1028.1199951171875,788.4400024414062,0.15
2009-09-02,96.35,68.05000305175781,994.75,769.219970703125,0.14
2009-09-09,105.27,71.30999755859375,1033.3699951171875,803.8599853515625,0.14
2009-09-16,111.85,72.51000213623047,1068.760009765625,826.6599731445312,0.1
2009-09-23,112.12,68.97000122070312,1060.8699951171875,827.469970703125,0.11
2009-09-30,109.09,70.61000061035156,1057.0799560546875,825.9299926757812,0.14
2009-10-07,107.59,69.56999969482422,1057.5799560546875,818.3400268554688,0.09
2009-10-14,111.86,75.18000030517578,1092.02001953125,841.969970703125,0.07
2009-10-21,109.61,81.37000274658203,1081.4000244140625,824.9400024414062,0.07
2009-10-28,97.84,77.45999908447266,1042.6300048828125,790.219970703125,0.07
2009-11-04,97.12,80.4000015258789,1046.5,792.2100219726562,0.05
2009-11-11,101.86,79.27999877929688,1098.510009765625,832.3499755859375,0.07
2009-11-18,104.3,79.58000183105469,1109.800048828125,838.6199951171875,0.04
2009-11-25,102.55,77.95999908447266,1110.6300048828125,838.260009765625,0.05
2009-12-02,105.43,76.5999984741211,1109.239990234375,838.5700073242188,0.05
2009-12-09,107.2,70.66999816894531,1095.949951171875,840.969970703125,0.03
2009-12-16,109.2,72.66000366210938,1109.1800537109375,851.780029296875,0.04
2009-12-23,112.61,76.66999816894531,1120.5899658203125,871.4600219726562,0.07
2009-12-30,111.95,79.27999877929688,1126.4200439453125,881.6799926757812,0.05
2010-01-06,117.7,83.18000030517578,1137.1400146484375,880.6900024414062,0.06
2010-01-13,115.4,79.6500015258789,1145.6800537109375,885.3200073242188,0.06
2010-01-20,108.71,77.62000274658203,1138.0400390625,880.7999877929688,0.05
2010-01-27,100.72,73.66999816894531,1097.5,857.5399780273438,0.08
2010-02-03,99.75,76.9800033569336,1097.280029296875,846.4000244140625,0.1
2010-02-10,93.91,74.5199966430664,1068.1300048828125,830.3200073242188,0.11
2010-02-17,99.4,77.33000183105469,1099.510009765625,859.1699829101562,0.1
2010-02-24,95.27,80.0,1105.239990234375,869.1199951171875,0.12
2010-03-03,98.01,80.87000274658203,1118.7900390625,889.0499877929688,0.14
2010-03-10,100.36,82.08999633789062,1145.6099853515625,916.3200073242188,0.15
2010-03-17,101.42,82.93000030517578,1166.2099609375,927.8699951171875,0.15
2010-03-24,99.55,80.61000061035156,1167.719970703125,928.8300170898438,0.14
2010-03-31,100.36,83.76000213623047,1169.4300537109375,925.8599853515625,0.16
2010-04-07,102.6,85.87999725341797,1182.449951171875,937.27001953125,0.17
2010-04-14,104.35,85.83999633789062,1210.6500244140625,961.2000122070312,0.16
2010-04-21,103.61,83.68000030517578,1205.93994140625,962.8400268554688,0.15
2010-04-28,101.9,83.22000122070312,1191.3599853515625,950.77001953125,0.16
2010-05-05,97.11,79.97000122070312,1165.8699951171875,921.1900024414062,0.15
2010-05-12,98.37,75.6500015258789,1171.6700439453125,934.3300170898438,0.16
2010-05-19,89.23,69.87000274658203,1115.050048828125,897.6400146484375,0.17
2010-05-26,85.08,71.51000213623047,1067.949951171875,864.0800170898438,0.17
2010-06-02,88.87,72.86000061035156,1098.3800048828125,891.5999755859375,0.16
2010-06-09,82.02,74.37999725341797,1055.68994140625,852.7899780273438,0.1
2010-06-16,91.51,77.66999816894531,1114.6099853515625,909.489990234375,0.1
2010-06-23,89.33,76.3499984741211,1092.0400390625,898.5499877929688,0.13
2010-06-30,83.79,75.62999725341797,1030.7099609375,846.510009765625,0.18
2010-07-07,87.98,74.06999969482422,1060.27001953125,870.260009765625,0.16
2010-07-14,91.86,77.04000091552734,1095.1700439453125,901.6300048828125,0.15
2010-07-21,89.83,76.55999755859375,1069.5899658203125,874.47998046875,0.16
2010-07-28,93.97,76.98999786376953,1106.1300048828125,905.1300048828125,0.15
2010-08-04,94.39,82.47000122070312,1127.239990234375,921.52001953125,0.16
2010-08-11,89.35,78.0199966430664,1089.469970703125,882.0,0.15
