Date,ECO,OIL,SP500,PSE,RATE,LECO,LRATE,LPSE,LOIL,LSP500,LOTECH
2017-02-01,39.2,53.880001068115234,2279.550048828125,2250.739990234375,0.5,3.6686767467964168,-0.6931471805599453,7.719014325676409,3.9867593713661282,7.731733355467796,0.03483251809337329
2017-02-08,39.04,52.34000015258789,2294.669921875,2282.429931640625,0.53,3.664586761544892,-0.6348782724359695,7.732995913921531,3.9577609000173206,7.738344287259786,0.03983368853070601
2017-02-15,40.95,53.11000061035156,2349.25,2331.2099609375,0.53,3.7123518102990785,-0.6348782724359695,7.754142708311659,3.972365245926523,7.761851407263174,0.029047955747578236
2017-02-22,41.58,53.59000015258789,2362.820068359375,2348.780029296875,0.52,3.727619282429867,-0.6539264674066639,7.761651335870798,3.981362486354079,7.767611128862127,0.028732465914096394
2017-03-01,41.13,53.83000183105469,2395.9599609375,2366.260009765625,0.62,3.716737782242333,-0.4780358009429998,7.769065932737776,3.985830966588371,7.781539248301681,0.017226835530275153
2017-03-08,40.4,50.279998779296875,2362.97998046875,2339.860107421875,0.72,3.6988297849671046,-0.3285040669720361,7.7578464234116185,3.917607359443941,7.767678805068392,0.024835620785357726
2017-03-15,40.93,48.86000061035156,2385.260009765625,2376.2099609375,0.72,3.7118632905043114,-0.3285040669720361,7.773262043976305,3.88895907832144,7.777063416149981,0.027503003865823494
2017-03-22,40.13,48.040000915527344,2348.449951171875,2351.89990234375,0.76,3.6921241842788253,-0.2744368457017603,7.76297874958556,3.872034016269388,7.761510794263547,0.03834669231824783
2017-03-29,41.21,49.5099983215332,2361.1298828125,2364.590087890625,0.77,3.718680945350726,-0.2613647641344075,7.768359961544487,3.9021746354717597,7.766895547352386,0.0364131513722743
2017-04-05,41.45,51.150001525878906,2352.949951171875,2340.820068359375,0.79,3.724487881581304,-0.23572233352106983,7.758256603520025,3.93476252222909,7.76342511828095,0.03102409142475704
2017-04-12,42.22,53.11000061035156,2344.929931640625,2337.64990234375,0.8,3.7428940424201746,-0.2231435513142097,7.756901388451563,3.972365245926523,7.760010800536579,0.034306951719614176
2017-04-19,42.13,50.439998626708984,2338.169921875,2350.6298828125,0.8,3.7407600759909254,-0.2231435513142097,7.762438606462539,3.920784483870489,7.75712381769518,0.04376590314660955
2017-04-26,43.67,49.619998931884766,2387.449951171875,2407.919921875,0.82,3.7766613674974696,-0.19845093872383832,7.7865185508404515,3.9043939567377532,7.777981109275214,0.039512898611853586
2017-05-03,42.78,47.81999969482422,2388.1298828125,2413.409912109375,0.84,3.7560707036542595,-0.1743533871447778,7.788795927745252,3.8674439556484184,7.778265862820901,0.041403460784181334
2017-05-10,43.3,47.33000183105469,2399.6298828125,2434.969970703125,0.89,3.768152635008444,-0.11653381625595151,7.797689703080533,3.857144382605134,7.783069788948813,0.04377148980958889
2017-05-17,41.16,49.06999969482422,2357.030029296875,2397.8798828125,0.89,3.717466910965849,-0.11653381625595151,7.782340243762619,3.8932478438826195,7.765157643328826,0.052754236081261396
2017-05-24,42.88,51.36000061035156,2404.389892578125,2458.739990234375,0.92,3.7584055167625467,-0.08338160893905101,7.8074042986159276,3.9388596712654977,7.785051467437208,0.05079413489889628
2017-05-31,43.03,48.31999969482422,2411.800048828125,2474.429931640625,0.96,3.7618975468505083,-0.040821994520255166,7.81376531782236,3.8778455473108355,7.788128655915004,0.052975041668319456
2017-06-07,43.2,45.720001220703125,2433.139892578125,2501.929931640625,0.98,3.765840495250065,-0.020202707317519466,7.824817685694913,3.8225358656261528,7.796937839107612,0.05206084444775971
2017-06-14,43.93,44.72999954223633,2437.919921875,2469.800048828125,0.99,3.782597457987688,-0.01005033585350145,7.811892474453794,3.800644407210827,7.798900463675284,0.036469565975561835
2017-06-21,43.64,42.529998779296875,2435.610107421875,2505.840087890625,0.97,3.77597416096487,-0.030459207484708574,7.82637932172428,3.750209680563376,7.797952561595194,0.0522440617936244
2017-06-28,45.57,44.7400016784668,2440.68994140625,2508.840087890625,1.0,3.8192496052757914,0.0,7.827575808938913,3.800867993578004,7.8000360411887755,0.050610309968877054
2017-07-05,44.4,45.130001068115234,2432.5400390625,2475.35009765625,1.03,3.7932394694381792,0.02955880224154443,7.8141371185976585,3.8095472375064308,7.796691273970944,0.0417152162084129
2017-07-12,45.5,45.4900016784668,2443.25,2529.219970703125,1.03,3.817712325956905,0.02955880224154443,7.835666222208609,3.8174925584794015,7.801084399218945,0.0572766133824576
2017-07-19,47.33,47.119998931884766,2473.830078125,2570.659912109375,1.09,3.8571443439181565,0.08617769624105241,7.851917920068006,3.8526975166753505,7.813522867539885,0.056631654926881936
2017-07-26,47.29,48.75,2477.830078125,2590.909912109375,1.11,3.8562988566557843,0.10436001532424286,7.859764410412817,3.886705197443856,7.815138487652678,0.062283455614005945
2017-08-02,46.31,49.59000015258789,2477.570068359375,2564.52001953125,1.06,3.8353579204926604,0.058268908123975824,7.849526613206048,3.9037892035780315,7.815033547684894,0.05218821089228509
2017-08-09,46.1,49.560001373291016,2474.02001953125,2571.070068359375,1.04,3.8308129500026027,0.03922071315328133,7.852077460243172,3.9031840844706065,7.81359964488867,0.05668689926419024
2017-08-16,45.19,46.779998779296875,2468.110107421875,2583.8798828125,1.0,3.810875823423188,0.0,7.85704737884235,3.845455735061481,7.811207998058415,0.06490567724660767
2017-08-23,44.48,48.40999984741211,2444.0400390625,2567.0,0.98,3.7950396499423267,-0.020202707317519466,7.8504931808711405,3.879706400799612,7.801407702752424,0.07166439026234173
